run_name,subset_name,num_problems,pass_at_1,delta_pass_at_1_vs_direct,average_final_sas,spec_induced_rate,unknown_rate
baseline_direct,all,1055,0.2872,0.0,0.0,0.0,0.0
baseline_direct,constraint_heavy,337,0.1602,0.0,0.0,0.0,0.0
baseline_direct,format_sensitive,836,0.2512,0.0,0.0,0.0,0.0
baseline_direct,edge_case_heavy,389,0.3239,0.0,0.0,0.0,0.0
baseline_direct,semantic_heavy,526,0.2281,0.0,0.0,0.0,0.0
decomposition_only,all,1055,0.3118,0.0246,80.2938,0.6095,0.0739
decomposition_only,constraint_heavy,337,0.184,0.0238,79.4303,0.7507,0.0653
decomposition_only,format_sensitive,836,0.2799,0.0287,80.0072,0.6316,0.0825
decomposition_only,edge_case_heavy,389,0.347,0.0231,79.7969,0.5604,0.0925
decomposition_only,semantic_heavy,526,0.2567,0.0286,79.4981,0.6616,0.0817
reflexion_style,all,1055,0.3355,0.0483,0.0,0.0,0.0
reflexion_style,constraint_heavy,337,0.1869,0.0267,0.0,0.0,0.0
reflexion_style,format_sensitive,836,0.2943,0.0431,0.0,0.0,0.0
reflexion_style,edge_case_heavy,389,0.3702,0.0463,0.0,0.0,0.0
reflexion_style,semantic_heavy,526,0.2643,0.0362,0.0,0.0,0.0
full_dual_loop,all,1055,0.3801,0.0929,82.3327,0.5621,0.054
full_dual_loop,constraint_heavy,337,0.2315,0.0713,81.4629,0.724,0.0445
full_dual_loop,format_sensitive,836,0.3481,0.0969,82.2656,0.5861,0.061
full_dual_loop,edge_case_heavy,389,0.4216,0.0977,82.0848,0.5116,0.0668
full_dual_loop,semantic_heavy,526,0.3213,0.0932,81.6635,0.6179,0.0608
